sensor,n_gateways_used,x_est,y_est,x_true,y_true,error_m
sensor01,3,114.35444460211174,127.70203744600799,201.00943465154864,-38.30408619183589,187.26217019390518
sensor02,3,-113.93501281485007,-21.624699854633977,96.18114053756834,-108.86838664122345,227.50881034310194
sensor03,3,31.174456693601797,268.5913514543855,89.92770232308884,-111.0478072025961,384.1586061222366
sensor04,3,163.45084888206256,156.44872703167235,186.06774614325977,-49.757163636242275,207.44250622249893
sensor05,3,94.16350108368854,9.65656828154242,61.296764611620716,18.605477264799664,34.063254957724986
sensor06,3,-53.19072874811984,78.63954460514275,58.17880382102069,14.402309037425898,128.56747340618932
sensor07,3,89.69328644750432,124.52533343179891,201.00943465154864,-38.30408619183589,197.24275587700177
sensor08,3,16.52701206884644,178.23774205053655,-146.984767873817,174.8454686930666,163.54696480995847
sensor09,3,-43.01607740849536,230.09857414542893,-144.13831490461993,165.6607677522661,119.90803896730759
sensor10,3,136.66244739243015,129.3162622468805,143.0206189330293,-140.2031169689274,269.5943658873719
