sensor,n_gateways_used,x_est,y_est,x_true,y_true,error_m
sensor01,3,509.3098795079179,-125.51028872037179,201.00943465154864,-38.30408619183589,320.3967634950191
sensor02,3,762.9280352972253,321.8646954089756,96.18114053756834,-108.86838664122345,793.7773048179877
sensor03,3,792.8331265254851,10.966422452863782,89.92770232308884,-111.0478072025961,713.416783942995
sensor04,3,964.9606623421689,-173.11971240196078,186.06774614325977,-49.757163636242275,788.6016062263728
sensor05,3,748.6657066996684,-445.3335027444672,61.296764611620716,18.605477264799664,829.2861024515489
sensor06,3,1160.3371702473746,-710.3697288313964,58.17880382102069,14.402309037425898,1319.1086276573794
sensor07,3,441.3993263731523,-141.93923022522,201.00943465154864,-38.30408619183589,261.777659705225
sensor08,3,285.40269208985075,-144.28000277561785,-146.984767873817,174.8454686930666,537.4011370233064
sensor09,3,439.8551245248806,-191.36243297243024,-144.13831490461993,165.6607677522661,684.4807544061445
sensor10,3,806.7192375982157,-168.41808155371962,143.0206189330293,-140.2031169689274,664.2980811688361
