sensor,n_gateways_used,x_est,y_est,x_true,y_true,error_m
sensor01,3,103.05625306201705,-37.66359865553214,201.00943465154864,-38.30408619183589,97.95527554856814
sensor02,3,248.35152197130694,218.63299186286147,96.18114053756834,-108.86838664122345,361.1273707540947
sensor03,3,265.483845397618,40.52252484204318,89.92770232308884,-111.0478072025961,231.9343116645891
sensor04,3,364.0939647139767,-64.9385545627885,186.06774614325977,-49.757163636242275,178.6723513279357
sensor05,3,240.18077858582154,-220.88707388523312,61.296764611620716,18.605477264799664,298.9250282460021
sensor06,3,476.0231843169572,-372.72363945033203,58.17880382102069,14.402309037425898,569.614278529409
sensor07,3,64.15098601287517,-47.07557259885404,201.00943465154864,-38.30408619183589,137.1392501713967
sensor08,3,-25.217903436687198,-48.41657744965774,-146.984767873817,174.8454686930666,254.30908462476583
sensor09,3,63.26632843740886,-75.38962413497372,-144.13831490461993,165.6607677522661,317.9968199665306
sensor10,3,273.43905757924165,-62.245037940203865,143.0206189330293,-140.2031169689274,151.94219698544757
