sensor,n_gateways_used,x_est,y_est,x_true,y_true,error_m
sensor01,3,126.62625872363408,154.20039190252115,201.00943465154864,-38.30408619183589,206.3754611079134
sensor02,3,-104.78173269194951,-25.065296724130995,96.18114053756834,-108.86838664122345,217.73615753088774
sensor03,3,47.09146947365553,302.87906921320734,89.92770232308884,-111.0478072025961,416.13747952338383
sensor04,3,167.81360875619572,165.86917264864775,186.06774614325977,-49.757163636242275,216.39762113154174
sensor05,3,117.6872022091162,60.45096301226479,61.296764611620716,18.605477264799664,70.220553471746
sensor06,3,-47.422134590307984,91.09558828342725,58.17880382102069,14.402309037425898,130.5121345885446
sensor07,3,104.47542960807884,143.26731440193444,201.00943465154864,-38.30408619183589,205.6380014572114
sensor08,3,32.44937517386932,187.6426634184011,-146.984767873817,174.8454686930666,179.8899104566337
sensor09,3,-38.6533175343621,239.51901976240464,-144.13831490461993,165.6607677522661,128.7716042464193
sensor10,3,152.25582475965757,148.67469283875818,143.0206189330293,-140.2031169689274,289.02539339294316
