sensor,n_gateways_used,x_est,y_est,x_true,y_true,error_m
sensor01,3,974.143038090583,-226.0239869514674,201.00943465154864,-38.30408619183589,795.5968387995467
sensor02,3,1351.7036435651642,439.98184120533585,96.18114053756834,-108.86838664122345,1370.245718189223
sensor03,3,1396.2232652609189,-22.851506876526287,89.92770232308884,-111.0478072025961,1309.2695234909688
sensor04,3,1652.4690235329901,-296.8999965004442,186.06774614325977,-49.757163636242275,1487.0818021098826
sensor05,3,1330.4713567676679,-702.1438686529992,61.296764611620716,18.605477264799664,1459.5491649873954
sensor06,3,1943.3254584385395,-1096.7025219270477,58.17880382102069,14.402309037425898,2188.2257321419593
sensor07,3,873.0447966027901,-250.48170403632048,201.00943465154864,-38.30408619183589,704.7346090742928
sensor08,3,640.8130641832439,-253.96640527411648,-146.984767873817,174.8454686930666,896.9420535625768
sensor09,3,870.7459478354635,-324.05788116628594,-144.13831490461993,165.6607677522661,1126.8604269633818
sensor10,3,1416.8954781314449,-289.9006924314746,143.0206189330293,-140.2031169689274,1282.6404488387025
