sensor,n_gateways_used,x_est,y_est,x_true,y_true,error_m
sensor01,3,98.35445299258204,93.40270159417086,201.00943465154864,-38.30408619183589,166.98719474352214
sensor02,3,-123.82351257774222,-17.728751952896527,96.18114053756834,-108.86838664122345,238.1354245036001
sensor03,3,12.039682357067907,227.37952673414674,89.92770232308884,-111.0478072025961,347.2745369441286
sensor04,3,151.3446879801998,130.30806522662317,186.06774614325977,-49.757163636242275,183.38259844824796
sensor05,3,78.49851641102462,-7.262336268329221,61.296764611620716,18.605477264799664,31.065158006245863
sensor06,3,-53.42449618792314,78.19433388307031,58.17880382102069,14.402309037425898,128.54850838027502
sensor07,3,71.09252577817949,90.48199115618375,201.00943465154864,-38.30408619183589,182.93238349155516
sensor08,3,-3.121159249758321,146.88188872981436,-146.984767873817,174.8454686930666,146.5561315356595
sensor09,3,-57.30468849190555,199.24537856813993,-144.13831490461993,165.6607677522661,93.10212005983836
sensor10,3,112.21171601913186,95.11921230714725,143.0206189330293,-140.2031169689274,237.33054408287876
