sensor,n_gateways_used,x_est,y_est,x_true,y_true,error_m
sensor01,3,-12.673253570675847,-12.638704257765005,201.00943465154864,-38.30408619183589,215.2185007746735
sensor02,3,101.76406493623415,189.2253673088053,96.18114053756834,-108.86838664122345,298.14602997333617
sensor03,3,115.25780886484247,48.94217435362941,89.92770232308884,-111.0478072025961,161.98274135159576
sensor04,3,192.92501521590344,-34.12097852485914,186.06774614325977,-49.757163636242275,17.07373491571411
sensor05,3,95.32863197092117,-156.9489997698292,61.296764611620716,18.605477264799664,178.8226562907034
sensor06,3,281.0825983918093,-276.53836799225,58.17880382102069,14.402309037425898,366.51409138605095
sensor07,3,-43.315782197529465,-20.051754028869013,201.00943465154864,-38.30408619183589,245.00603914543888
sensor08,3,-113.70442006111682,-21.107954966330958,-146.984767873817,174.8454686930666,198.75946718175126
sensor09,3,-44.012555337447715,-42.352439785423165,-144.13831490461993,165.6607677522661,230.85636711821698
sensor10,3,121.52348535281571,-31.999513580017844,143.0206189330293,-140.2031169689274,110.31838712793976
