Sensor Alias,Gateway Alias,Variable,Statistic,Value
sensor01,gatewayC,Spreading Factor (-),min,7.0
sensor01,gatewayC,Bandwidth (Hz),min,125000.0
sensor01,gatewayC,Frequency (Hz),min,903900000.0
sensor01,gatewayC,Airtime (s),min,0.066816
sensor01,gatewayC,Counter (-),min,32604.0
sensor01,gatewayC,# Receiving Gateways (-),min,1.0
sensor01,gatewayC,RSSI (dBm),max,-93.0
sensor01,gatewayC,SNR (dB),max,12.0
sensor01,gatewayC,Spreading Factor (-),max,7.0
sensor01,gatewayC,Bandwidth (Hz),max,125000.0
sensor01,gatewayC,Frequency (Hz),max,905300000.0
sensor01,gatewayC,Airtime (s),max,0.077056
sensor01,gatewayC,Counter (-),max,173447.0
sensor01,gatewayC,# Receiving Gateways (-),max,4.0
sensor01,gatewayC,RSSI (dBm),count,95134.0
sensor01,gatewayC,SNR (dB),count,84580.0
sensor01,gatewayC,Spreading Factor (-),count,95134.0
sensor01,gatewayC,Bandwidth (Hz),count,95134.0
sensor01,gatewayC,Frequency (Hz),count,95134.0
sensor01,gatewayC,Airtime (s),count,95134.0
sensor01,gatewayC,Counter (-),count,95134.0
sensor01,gatewayC,# Receiving Gateways (-),count,95134.0
sensor02,gatewayA,RSSI (dBm),mean,-99.9489623887653
sensor02,gatewayA,SNR (dB),mean,4.110776911490257
sensor02,gatewayA,Spreading Factor (-),mean,7.0
sensor02,gatewayA,Bandwidth (Hz),mean,125000.0
sensor02,gatewayA,Frequency (Hz),mean,904603050.2641824
sensor02,gatewayA,Airtime (s),mean,0.05513755728587319
sensor02,gatewayA,Counter (-),mean,164194.59217707175
sensor02,gatewayA,# Receiving Gateways (-),mean,2.4533248748609564
sensor02,gatewayA,RSSI (dBm),std,9.480639126003908
sensor02,gatewayA,SNR (dB),std,5.452488723870398
sensor02,gatewayA,Spreading Factor (-),std,0.0
sensor02,gatewayA,Bandwidth (Hz),std,0.0
sensor02,gatewayA,Frequency (Hz),std,454230.35974073334
sensor02,gatewayA,Airtime (s),std,0.0037213812685236215
sensor02,gatewayA,Counter (-),std,47411.21725682358
sensor02,gatewayA,# Receiving Gateways (-),std,0.5262966739930363
sensor02,gatewayA,RSSI (dBm),min,-124.0
sensor02,gatewayA,SNR (dB),min,-10.25
sensor02,gatewayA,Spreading Factor (-),min,7.0
sensor02,gatewayA,Bandwidth (Hz),min,125000.0
sensor02,gatewayA,Frequency (Hz),min,903900000.0
sensor02,gatewayA,Airtime (s),min,0.046336
sensor02,gatewayA,Counter (-),min,84219.0
sensor02,gatewayA,# Receiving Gateways (-),min,1.0
sensor02,gatewayA,RSSI (dBm),max,-44.0
sensor02,gatewayA,SNR (dB),max,15.0
sensor02,gatewayA,Spreading Factor (-),max,7.0
sensor02,gatewayA,Bandwidth (Hz),max,125000.0
sensor02,gatewayA,Frequency (Hz),max,905300000.0
sensor02,gatewayA,Airtime (s),max,0.066816
sensor02,gatewayA,Counter (-),max,248523.0
sensor02,gatewayA,# Receiving Gateways (-),max,3.0
sensor02,gatewayA,RSSI (dBm),count,115072.0
sensor02,gatewayA,SNR (dB),count,105559.0
sensor02,gatewayA,Spreading Factor (-),count,115072.0
sensor02,gatewayA,Bandwidth (Hz),count,115072.0
sensor02,gatewayA,Frequency (Hz),count,115072.0
sensor02,gatewayA,Airtime (s),count,115072.0
sensor02,gatewayA,Counter (-),count,115072.0
sensor02,gatewayA,# Receiving Gateways (-),count,115072.0
sensor02,gatewayB,RSSI (dBm),mean,-107.94594594594595
sensor02,gatewayB,SNR (dB),mean,-6.952702702702703
sensor02,gatewayB,Spreading Factor (-),mean,7.0
sensor02,gatewayB,Bandwidth (Hz),mean,125000.0
sensor02,gatewayB,Frequency (Hz),mean,904651351.3513514
sensor02,gatewayB,Airtime (s),mean,0.05546897297297297
sensor02,gatewayB,Counter (-),mean,112757.56756756757
sensor02,gatewayB,# Receiving Gateways (-),mean,2.1621621621621623
sensor02,gatewayB,RSSI (dBm),std,4.642472676554225
sensor02,gatewayB,SNR (dB),std,1.3703682567686537
sensor02,gatewayB,Spreading Factor (-),std,0.0
sensor02,gatewayB,Bandwidth (Hz),std,0.0
sensor02,gatewayB,Frequency (Hz),std,502007.9800282183
sensor02,gatewayB,Airtime (s),std,0.0029891366877642343
sensor02,gatewayB,Counter (-),std,41999.03648203038
sensor02,gatewayB,# Receiving Gateways (-),std,0.37368387661182234
sensor02,gatewayB,RSSI (dBm),min,-120.0
sensor02,gatewayB,SNR (dB),min,-9.25
sensor02,gatewayB,Spreading Factor (-),min,7.0
sensor02,gatewayB,Bandwidth (Hz),min,125000.0
sensor02,gatewayB,Frequency (Hz),min,903900000.0
sensor02,gatewayB,Airtime (s),min,0.046336
sensor02,gatewayB,Counter (-),min,94211.0
sensor02,gatewayB,# Receiving Gateways (-),min,2.0
sensor02,gatewayB,RSSI (dBm),max,-97.0
sensor02,gatewayB,SNR (dB),max,-3.0
sensor02,gatewayB,Spreading Factor (-),max,7.0
sensor02,gatewayB,Bandwidth (Hz),max,125000.0
sensor02,gatewayB,Frequency (Hz),max,905300000.0
sensor02,gatewayB,Airtime (s),max,0.056576
sensor02,gatewayB,Counter (-),max,224041.0
sensor02,gatewayB,# Receiving Gateways (-),max,3.0
sensor02,gatewayB,RSSI (dBm),count,37.0
sensor02,gatewayB,SNR (dB),count,37.0
sensor02,gatewayB,Spreading Factor (-),count,37.0
sensor02,gatewayB,Bandwidth (Hz),count,37.0
sensor02,gatewayB,Frequency (Hz),count,37.0
sensor02,gatewayB,Airtime (s),count,37.0
sensor02,gatewayB,Counter (-),count,37.0
sensor02,gatewayB,# Receiving Gateways (-),count,37.0
sensor02,gatewayC,RSSI (dBm),mean,-79.10359398216939
sensor02,gatewayC,SNR (dB),mean,14.550143000285336
sensor02,gatewayC,Spreading Factor (-),mean,7.0
sensor02,gatewayC,Bandwidth (Hz),mean,125000.0
sensor02,gatewayC,Frequency (Hz),mean,904598445.1284229
sensor02,gatewayC,Airtime (s),mean,0.05519855996603692
sensor02,gatewayC,Counter (-),mean,170482.99981426448
sensor02,gatewayC,# Receiving Gateways (-),mean,2.204209562725536
sensor02,gatewayC,RSSI (dBm),std,6.462696327627394
sensor02,gatewayC,SNR (dB),std,1.1082072290598917
sensor02,gatewayC,Spreading Factor (-),std,0.0
sensor02,gatewayC,Bandwidth (Hz),std,0.0
sensor02,gatewayC,Frequency (Hz),std,457680.5469199927
sensor02,gatewayC,Airtime (s),std,0.003666975145188577
sensor02,gatewayC,Counter (-),std,45588.08215162557
sensor02,gatewayC,# Receiving Gateways (-),std,0.6765533120117724
sensor02,gatewayC,RSSI (dBm),min,-111.0
sensor02,gatewayC,SNR (dB),min,-9.0
sensor02,gatewayC,Spreading Factor (-),min,7.0
sensor02,gatewayC,Bandwidth (Hz),min,125000.0
sensor02,gatewayC,Frequency (Hz),min,903900000.0
sensor02,gatewayC,Airtime (s),min,0.046336
sensor02,gatewayC,Counter (-),min,84219.0
sensor02,gatewayC,# Receiving Gateways (-),min,1.0
sensor02,gatewayC,RSSI (dBm),max,-64.0
sensor02,gatewayC,SNR (dB),max,15.0
sensor02,gatewayC,Spreading Factor (-),max,7.0
sensor02,gatewayC,Bandwidth (Hz),max,125000.0
sensor02,gatewayC,Frequency (Hz),max,905300000.0
sensor02,gatewayC,Airtime (s),max,0.061696
sensor02,gatewayC,Counter (-),max,248523.0
sensor02,gatewayC,# Receiving Gateways (-),max,3.0
sensor02,gatewayC,RSSI (dBm),count,150752.0
sensor02,gatewayC,SNR (dB),count,150699.0
sensor02,gatewayC,Spreading Factor (-),count,150752.0
sensor02,gatewayC,Bandwidth (Hz),count,150752.0
sensor02,gatewayC,Frequency (Hz),count,150752.0
sensor02,gatewayC,Airtime (s),count,150752.0
sensor02,gatewayC,Counter (-),count,150752.0
sensor02,gatewayC,# Receiving Gateways (-),count,150752.0
sensor03,gatewayA,RSSI (dBm),mean,-90.7095211887727
sensor03,gatewayA,SNR (dB),mean,10.300348217231978
sensor03,gatewayA,Spreading Factor (-),mean,7.0
sensor03,gatewayA,Bandwidth (Hz),mean,125000.0
sensor03,gatewayA,Frequency (Hz),mean,904595311.7988231
sensor03,gatewayA,Airtime (s),mean,0.05667362702679818
sensor03,gatewayA,Counter (-),mean,105371.05534905382
sensor03,gatewayA,# Receiving Gateways (-),mean,2.5977901020278567
sensor03,gatewayA,RSSI (dBm),std,9.169895706090518
sensor03,gatewayA,SNR (dB),std,5.278097237268006
sensor03,gatewayA,Spreading Factor (-),std,0.0
sensor03,gatewayA,Bandwidth (Hz),std,0.0
