Sensor Alias,Gateway Alias,Variable,Statistic,Value
sensor05,gatewayA,# Receiving Gateways (-),std,0.6265206445437106
sensor05,gatewayA,RSSI (dBm),min,-120.0
sensor05,gatewayA,SNR (dB),min,-10.75
sensor05,gatewayA,Spreading Factor (-),min,7.0
sensor05,gatewayA,Bandwidth (Hz),min,125000.0
sensor05,gatewayA,Frequency (Hz),min,903900000.0
sensor05,gatewayA,Airtime (s),min,0.056576
sensor05,gatewayA,Counter (-),min,39769.0
sensor05,gatewayA,# Receiving Gateways (-),min,1.0
sensor05,gatewayA,RSSI (dBm),max,-32.0
sensor05,gatewayA,SNR (dB),max,15.0
sensor05,gatewayA,Spreading Factor (-),max,7.0
sensor05,gatewayA,Bandwidth (Hz),max,125000.0
sensor05,gatewayA,Frequency (Hz),max,905300000.0
sensor05,gatewayA,Airtime (s),max,0.066816
sensor05,gatewayA,Counter (-),max,180608.0
sensor05,gatewayA,# Receiving Gateways (-),max,4.0
sensor05,gatewayA,RSSI (dBm),count,130231.0
sensor05,gatewayA,SNR (dB),count,128942.0
sensor05,gatewayA,Spreading Factor (-),count,130231.0
sensor05,gatewayA,Bandwidth (Hz),count,130231.0
sensor05,gatewayA,Frequency (Hz),count,130231.0
sensor05,gatewayA,Airtime (s),count,130231.0
sensor05,gatewayA,Counter (-),count,130231.0
sensor05,gatewayA,# Receiving Gateways (-),count,130231.0
sensor05,gatewayB,RSSI (dBm),mean,-113.8403162055336
sensor05,gatewayB,SNR (dB),mean,-7.041500399042299
sensor05,gatewayB,Spreading Factor (-),mean,7.0
sensor05,gatewayB,Bandwidth (Hz),mean,125000.0
sensor05,gatewayB,Frequency (Hz),mean,904594703.5573123
sensor05,gatewayB,Airtime (s),mean,0.05675408695652174
sensor05,gatewayB,Counter (-),mean,143386.20553359683
sensor05,gatewayB,# Receiving Gateways (-),mean,2.65296442687747
sensor05,gatewayB,RSSI (dBm),std,5.604003984601423
sensor05,gatewayB,SNR (dB),std,1.9148907782668791
sensor05,gatewayB,Spreading Factor (-),std,0.0
sensor05,gatewayB,Bandwidth (Hz),std,0.0
sensor05,gatewayB,Frequency (Hz),std,439769.89257220464
sensor05,gatewayB,Airtime (s),std,0.0009603462960075214
sensor05,gatewayB,Counter (-),std,42315.526487134186
sensor05,gatewayB,# Receiving Gateways (-),std,0.8047777542290209
sensor05,gatewayB,RSSI (dBm),min,-126.0
sensor05,gatewayB,SNR (dB),min,-10.0
sensor05,gatewayB,Spreading Factor (-),min,7.0
sensor05,gatewayB,Bandwidth (Hz),min,125000.0
sensor05,gatewayB,Frequency (Hz),min,903900000.0
sensor05,gatewayB,Airtime (s),min,0.056576
sensor05,gatewayB,Counter (-),min,39988.0
sensor05,gatewayB,# Receiving Gateways (-),min,1.0
sensor05,gatewayB,RSSI (dBm),max,-84.0
sensor05,gatewayB,SNR (dB),max,1.0
sensor05,gatewayB,Spreading Factor (-),max,7.0
sensor05,gatewayB,Bandwidth (Hz),max,125000.0
sensor05,gatewayB,Frequency (Hz),max,905300000.0
sensor05,gatewayB,Airtime (s),max,0.066816
sensor05,gatewayB,Counter (-),max,179929.0
sensor05,gatewayB,# Receiving Gateways (-),max,4.0
sensor05,gatewayB,RSSI (dBm),count,1265.0
sensor05,gatewayB,SNR (dB),count,1253.0
sensor05,gatewayB,Spreading Factor (-),count,1265.0
sensor05,gatewayB,Bandwidth (Hz),count,1265.0
sensor05,gatewayB,Frequency (Hz),count,1265.0
sensor05,gatewayB,Airtime (s),count,1265.0
sensor05,gatewayB,Counter (-),count,1265.0
sensor05,gatewayB,# Receiving Gateways (-),count,1265.0
sensor05,gatewayC,RSSI (dBm),mean,-107.20073233687496
sensor05,gatewayC,SNR (dB),mean,0.04309279403503396
sensor05,gatewayC,Spreading Factor (-),mean,7.0
sensor05,gatewayC,Bandwidth (Hz),mean,125000.0
sensor05,gatewayC,Frequency (Hz),mean,904605763.5083567
sensor05,gatewayC,Airtime (s),mean,0.056677203124866
sensor05,gatewayC,Counter (-),mean,113580.56218431907
sensor05,gatewayC,# Receiving Gateways (-),mean,2.414490665706225
sensor05,gatewayC,RSSI (dBm),std,3.075510182758677
sensor05,gatewayC,SNR (dB),std,4.632454352673996
sensor05,gatewayC,Spreading Factor (-),std,0.0
sensor05,gatewayC,Bandwidth (Hz),std,0.0
sensor05,gatewayC,Frequency (Hz),std,455397.2848114384
sensor05,gatewayC,Airtime (s),std,0.0007133172388375563
sensor05,gatewayC,Counter (-),std,39741.65065660856
sensor05,gatewayC,# Receiving Gateways (-),std,0.5709121405748595
sensor05,gatewayC,RSSI (dBm),min,-119.0
sensor05,gatewayC,SNR (dB),min,-10.0
sensor05,gatewayC,Spreading Factor (-),min,7.0
sensor05,gatewayC,Bandwidth (Hz),min,125000.0
sensor05,gatewayC,Frequency (Hz),min,903900000.0
sensor05,gatewayC,Airtime (s),min,0.056576
sensor05,gatewayC,Counter (-),min,39769.0
sensor05,gatewayC,# Receiving Gateways (-),min,1.0
sensor05,gatewayC,RSSI (dBm),max,-84.0
sensor05,gatewayC,SNR (dB),max,15.0
sensor05,gatewayC,Spreading Factor (-),max,7.0
sensor05,gatewayC,Bandwidth (Hz),max,125000.0
sensor05,gatewayC,Frequency (Hz),max,905300000.0
sensor05,gatewayC,Airtime (s),max,0.066816
sensor05,gatewayC,Counter (-),max,180608.0
sensor05,gatewayC,# Receiving Gateways (-),max,4.0
sensor05,gatewayC,RSSI (dBm),count,116613.0
sensor05,gatewayC,SNR (dB),count,97905.0
sensor05,gatewayC,Spreading Factor (-),count,116613.0
sensor05,gatewayC,Bandwidth (Hz),count,116613.0
sensor05,gatewayC,Frequency (Hz),count,116613.0
sensor05,gatewayC,Airtime (s),count,116613.0
sensor05,gatewayC,Counter (-),count,116613.0
sensor05,gatewayC,# Receiving Gateways (-),count,116613.0
sensor06,gatewayA,RSSI (dBm),mean,-78.60812628460887
sensor06,gatewayA,SNR (dB),mean,13.674400395301987
sensor06,gatewayA,Spreading Factor (-),mean,7.0
sensor06,gatewayA,Bandwidth (Hz),mean,125000.0
sensor06,gatewayA,Frequency (Hz),mean,904599960.7060815
sensor06,gatewayA,Airtime (s),mean,0.05667574126465964
sensor06,gatewayA,Counter (-),mean,108049.78878763148
sensor06,gatewayA,# Receiving Gateways (-),mean,1.9292256075444323
sensor06,gatewayA,RSSI (dBm),std,9.675387559503527
sensor06,gatewayA,SNR (dB),std,3.024931585240218
sensor06,gatewayA,Spreading Factor (-),std,0.0
sensor06,gatewayA,Bandwidth (Hz),std,0.0
sensor06,gatewayA,Frequency (Hz),std,457655.3765549615
sensor06,gatewayA,Airtime (s),std,0.0007076233030113995
sensor06,gatewayA,Counter (-),std,39781.765432355576
sensor06,gatewayA,# Receiving Gateways (-),std,0.8647587309048964
sensor06,gatewayA,RSSI (dBm),min,-115.0
sensor06,gatewayA,SNR (dB),min,-9.0
sensor06,gatewayA,Spreading Factor (-),min,7.0
sensor06,gatewayA,Bandwidth (Hz),min,125000.0
sensor06,gatewayA,Frequency (Hz),min,903900000.0
sensor06,gatewayA,Airtime (s),min,0.056576
sensor06,gatewayA,Counter (-),min,39772.0
sensor06,gatewayA,# Receiving Gateways (-),min,1.0
sensor06,gatewayA,RSSI (dBm),max,-32.0
sensor06,gatewayA,SNR (dB),max,15.0
sensor06,gatewayA,Spreading Factor (-),max,7.0
sensor06,gatewayA,Bandwidth (Hz),max,125000.0
sensor06,gatewayA,Frequency (Hz),max,905300000.0
sensor06,gatewayA,Airtime (s),max,0.061696
sensor06,gatewayA,Counter (-),max,180612.0
sensor06,gatewayA,# Receiving Gateways (-),max,4.0
sensor06,gatewayA,RSSI (dBm),count,132336.0
sensor06,gatewayA,SNR (dB),count,131545.0
sensor06,gatewayA,Spreading Factor (-),count,132336.0
sensor06,gatewayA,Bandwidth (Hz),count,132336.0
sensor06,gatewayA,Frequency (Hz),count,132336.0
sensor06,gatewayA,Airtime (s),count,132336.0
sensor06,gatewayA,Counter (-),count,132336.0
sensor06,gatewayA,# Receiving Gateways (-),count,132336.0
sensor06,gatewayB,RSSI (dBm),mean,-115.87043189368771
sensor06,gatewayB,SNR (dB),mean,-7.877076411960133
sensor06,gatewayB,Spreading Factor (-),mean,7.0
sensor06,gatewayB,Bandwidth (Hz),mean,125000.0
sensor06,gatewayB,Frequency (Hz),mean,904693355.4817276
sensor06,gatewayB,Airtime (s),mean,0.05666104983388704
sensor06,gatewayB,Counter (-),mean,96568.21594684385
sensor06,gatewayB,# Receiving Gateways (-),mean,3.664451827242525
sensor06,gatewayB,RSSI (dBm),std,3.6064510920727506
sensor06,gatewayB,SNR (dB),std,1.1211256653359976
sensor06,gatewayB,Spreading Factor (-),std,0.0
sensor06,gatewayB,Bandwidth (Hz),std,0.0
sensor06,gatewayB,Frequency (Hz),std,286511.8436380083
sensor06,gatewayB,Airtime (s),std,0.000655476224467096
sensor06,gatewayB,Counter (-),std,24298.555593763416
sensor06,gatewayB,# Receiving Gateways (-),std,0.5571045220647409
sensor06,gatewayB,RSSI (dBm),min,-122.0
sensor06,gatewayB,SNR (dB),min,-10.0
sensor06,gatewayB,Spreading Factor (-),min,7.0
sensor06,gatewayB,Bandwidth (Hz),min,125000.0
sensor06,gatewayB,Frequency (Hz),min,903900000.0
sensor06,gatewayB,Airtime (s),min,0.056576
sensor06,gatewayB,Counter (-),min,58758.0
sensor06,gatewayB,# Receiving Gateways (-),min,2.0
sensor06,gatewayB,RSSI (dBm),max,-90.0
sensor06,gatewayB,SNR (dB),max,-4.5
sensor06,gatewayB,Spreading Factor (-),max,7.0
sensor06,gatewayB,Bandwidth (Hz),max,125000.0
sensor06,gatewayB,Frequency (Hz),max,905300000.0
sensor06,gatewayB,Airtime (s),max,0.061696
sensor06,gatewayB,Counter (-),max,175838.0
sensor06,gatewayB,# Receiving Gateways (-),max,4.0
sensor06,gatewayB,RSSI (dBm),count,301.0
sensor06,gatewayB,SNR (dB),count,301.0
sensor06,gatewayB,Spreading Factor (-),count,301.0
sensor06,gatewayB,Bandwidth (Hz),count,301.0
sensor06,gatewayB,Frequency (Hz),count,301.0
sensor06,gatewayB,Airtime (s),count,301.0
sensor06,gatewayB,Counter (-),count,301.0
sensor06,gatewayB,# Receiving Gateways (-),count,301.0
sensor06,gatewayC,RSSI (dBm),mean,-108.45010366898043
sensor06,gatewayC,SNR (dB),mean,-1.2203261351871024
sensor06,gatewayC,Spreading Factor (-),mean,7.0
sensor06,gatewayC,Bandwidth (Hz),mean,125000.0
sensor06,gatewayC,Frequency (Hz),mean,904576215.3739166
sensor06,gatewayC,Airtime (s),mean,0.05667431064635354
sensor06,gatewayC,Counter (-),mean,97132.24710563934
sensor06,gatewayC,# Receiving Gateways (-),mean,2.5279004777787795
sensor06,gatewayC,RSSI (dBm),std,2.8702471038949673
sensor06,gatewayC,SNR (dB),std,4.898591737765833
sensor06,gatewayC,Spreading Factor (-),std,0.0
sensor06,gatewayC,Bandwidth (Hz),std,0.0
sensor06,gatewayC,Frequency (Hz),std,459448.73283969925
sensor06,gatewayC,Airtime (s),std,0.0007026321114026151
sensor06,gatewayC,Counter (-),std,37208.335291861484
sensor06,gatewayC,# Receiving Gateways (-),std,0.5950244830374107
sensor06,gatewayC,RSSI (dBm),min,-118.0
sensor06,gatewayC,SNR (dB),min,-10.5
sensor06,gatewayC,Spreading Factor (-),min,7.0
sensor06,gatewayC,Bandwidth (Hz),min,125000.0
sensor06,gatewayC,Frequency (Hz),min,903900000.0
sensor06,gatewayC,Airtime (s),min,0.056576
sensor06,gatewayC,Counter (-),min,39772.0
sensor06,gatewayC,# Receiving Gateways (-),min,1.0
sensor06,gatewayC,RSSI (dBm),max,-94.0
sensor06,gatewayC,SNR (dB),max,11.0
sensor06,gatewayC,Spreading Factor (-),max,7.0
sensor06,gatewayC,Bandwidth (Hz),max,125000.0
sensor06,gatewayC,Frequency (Hz),max,905300000.0
sensor06,gatewayC,Airtime (s),max,0.061696
sensor06,gatewayC,Counter (-),max,180612.0
sensor06,gatewayC,# Receiving Gateways (-),max,4.0
sensor06,gatewayC,RSSI (dBm),count,77651.0
sensor06,gatewayC,SNR (dB),count,67610.0
sensor06,gatewayC,Spreading Factor (-),count,77651.0
sensor06,gatewayC,Bandwidth (Hz),count,77651.0
sensor06,gatewayC,Frequency (Hz),count,77651.0
sensor06,gatewayC,Airtime (s),count,77651.0
sensor06,gatewayC,Counter (-),count,77651.0
sensor06,gatewayC,# Receiving Gateways (-),count,77651.0
sensor07,gatewayA,RSSI (dBm),mean,-89.04291707520936
sensor07,gatewayA,SNR (dB),mean,10.860079651831171
sensor07,gatewayA,Spreading Factor (-),mean,7.0
sensor07,gatewayA,Bandwidth (Hz),mean,125000.0
sensor07,gatewayA,Frequency (Hz),mean,904601506.116085
sensor07,gatewayA,Airtime (s),mean,0.056693151077749
sensor07,gatewayA,Counter (-),mean,107224.61208268369
sensor07,gatewayA,# Receiving Gateways (-),mean,2.686223136643467
sensor07,gatewayA,RSSI (dBm),std,9.890200020332305
sensor07,gatewayA,SNR (dB),std,5.064237217348567
sensor07,gatewayA,Spreading Factor (-),std,0.0
sensor07,gatewayA,Bandwidth (Hz),std,0.0
sensor07,gatewayA,Frequency (Hz),std,458863.3540479461
sensor07,gatewayA,Airtime (s),std,0.0007655676674456276
sensor07,gatewayA,Counter (-),std,39347.93317801092
sensor07,gatewayA,# Receiving Gateways (-),std,0.7933799009781783
sensor07,gatewayA,RSSI (dBm),min,-116.0
sensor07,gatewayA,SNR (dB),min,-10.25
sensor07,gatewayA,Spreading Factor (-),min,7.0
sensor07,gatewayA,Bandwidth (Hz),min,125000.0
sensor07,gatewayA,Frequency (Hz),min,903900000.0
sensor07,gatewayA,Airtime (s),min,0.056576
sensor07,gatewayA,Counter (-),min,39771.0
sensor07,gatewayA,# Receiving Gateways (-),min,1.0
sensor07,gatewayA,RSSI (dBm),max,-41.0
sensor07,gatewayA,SNR (dB),max,15.0
sensor07,gatewayA,Spreading Factor (-),max,7.0
sensor07,gatewayA,Bandwidth (Hz),max,125000.0
sensor07,gatewayA,Frequency (Hz),max,905300000.0
sensor07,gatewayA,Airtime (s),max,0.061696
sensor07,gatewayA,Counter (-),max,180609.0
sensor07,gatewayA,# Receiving Gateways (-),max,4.0
sensor07,gatewayA,RSSI (dBm),count,124426.0
sensor07,gatewayA,SNR (dB),count,121780.0
sensor07,gatewayA,Spreading Factor (-),count,124426.0
sensor07,gatewayA,Bandwidth (Hz),count,124426.0
sensor07,gatewayA,Frequency (Hz),count,124426.0
sensor07,gatewayA,Airtime (s),count,124426.0
sensor07,gatewayA,Counter (-),count,124426.0
sensor07,gatewayA,# Receiving Gateways (-),count,124426.0
sensor07,gatewayB,RSSI (dBm),mean,-110.44621876551382
sensor07,gatewayB,SNR (dB),mean,-5.3900316455696204
sensor07,gatewayB,Spreading Factor (-),mean,7.0
sensor07,gatewayB,Bandwidth (Hz),mean,125000.0
sensor07,gatewayB,Frequency (Hz),mean,904577544.266093
sensor07,gatewayB,Airtime (s),mean,0.05668727364995311
sensor07,gatewayB,Counter (-),mean,93958.54638976225
sensor07,gatewayB,# Receiving Gateways (-),mean,3.469220585801754
sensor07,gatewayB,RSSI (dBm),std,7.663557318971813
sensor07,gatewayB,SNR (dB),std,2.3629645053089394
sensor07,gatewayB,Spreading Factor (-),std,0.0
sensor07,gatewayB,Bandwidth (Hz),std,0.0
sensor07,gatewayB,Frequency (Hz),std,449799.3515965963
sensor07,gatewayB,Airtime (s),std,0.0007465618758642149
sensor07,gatewayB,Counter (-),std,34496.312814638644
sensor07,gatewayB,# Receiving Gateways (-),std,0.6438943578836293
sensor07,gatewayB,RSSI (dBm),min,-124.0
sensor07,gatewayB,SNR (dB),min,-10.25
sensor07,gatewayB,Spreading Factor (-),min,7.0
sensor07,gatewayB,Bandwidth (Hz),min,125000.0
sensor07,gatewayB,Frequency (Hz),min,903900000.0
sensor07,gatewayB,Airtime (s),min,0.056576
sensor07,gatewayB,Counter (-),min,39771.0
sensor07,gatewayB,# Receiving Gateways (-),min,1.0
sensor07,gatewayB,RSSI (dBm),max,-64.0
sensor07,gatewayB,SNR (dB),max,5.0
sensor07,gatewayB,Spreading Factor (-),max,7.0
sensor07,gatewayB,Bandwidth (Hz),max,125000.0
sensor07,gatewayB,Frequency (Hz),max,905300000.0
sensor07,gatewayB,Airtime (s),max,0.061696
sensor07,gatewayB,Counter (-),max,180319.0
sensor07,gatewayB,# Receiving Gateways (-),max,4.0
sensor07,gatewayB,RSSI (dBm),count,36258.0
sensor07,gatewayB,SNR (dB),count,34760.0
sensor07,gatewayB,Spreading Factor (-),count,36258.0
sensor07,gatewayB,Bandwidth (Hz),count,36258.0
sensor07,gatewayB,Frequency (Hz),count,36258.0
sensor07,gatewayB,Airtime (s),count,36258.0
sensor07,gatewayB,Counter (-),count,36258.0
sensor07,gatewayB,# Receiving Gateways (-),count,36258.0
sensor07,gatewayC,RSSI (dBm),mean,-105.84368747375441
sensor07,gatewayC,SNR (dB),mean,2.1864147667220295
sensor07,gatewayC,Spreading Factor (-),mean,7.0
sensor07,gatewayC,Bandwidth (Hz),mean,125000.0
sensor07,gatewayC,Frequency (Hz),mean,904598199.2441272
sensor07,gatewayC,Airtime (s),mean,0.05669568546468064
sensor07,gatewayC,Counter (-),mean,112879.15226967698
sensor07,gatewayC,# Receiving Gateways (-),mean,2.6697873181335376
sensor07,gatewayC,RSSI (dBm),std,3.489022849026104
sensor07,gatewayC,SNR (dB),std,4.912302736351364
sensor07,gatewayC,Spreading Factor (-),std,0.0
sensor07,gatewayC,Bandwidth (Hz),std,0.0
sensor07,gatewayC,Frequency (Hz),std,454903.38958569296
sensor07,gatewayC,Airtime (s),std,0.0007736083611593731
sensor07,gatewayC,Counter (-),std,38669.421510541026
sensor07,gatewayC,# Receiving Gateways (-),std,0.8083164749860292
sensor07,gatewayC,RSSI (dBm),min,-118.0
sensor07,gatewayC,SNR (dB),min,-10.0
sensor07,gatewayC,Spreading Factor (-),min,7.0
sensor07,gatewayC,Bandwidth (Hz),min,125000.0
sensor07,gatewayC,Frequency (Hz),min,903900000.0
sensor07,gatewayC,Airtime (s),min,0.056576
sensor07,gatewayC,Counter (-),min,39771.0
sensor07,gatewayC,# Receiving Gateways (-),min,1.0
sensor07,gatewayC,RSSI (dBm),max,-88.0
sensor07,gatewayC,SNR (dB),max,15.0
sensor07,gatewayC,Spreading Factor (-),max,7.0
sensor07,gatewayC,Bandwidth (Hz),max,125000.0
sensor07,gatewayC,Frequency (Hz),max,905300000.0
sensor07,gatewayC,Airtime (s),max,0.061696
sensor07,gatewayC,Counter (-),max,180609.0
sensor07,gatewayC,# Receiving Gateways (-),max,4.0
sensor07,gatewayC,RSSI (dBm),count,121449.0
sensor07,gatewayC,SNR (dB),count,105968.0
sensor07,gatewayC,Spreading Factor (-),count,121449.0
sensor07,gatewayC,Bandwidth (Hz),count,121449.0
sensor07,gatewayC,Frequency (Hz),count,121449.0
sensor07,gatewayC,Airtime (s),count,121449.0
sensor07,gatewayC,Counter (-),count,121449.0
sensor07,gatewayC,# Receiving Gateways (-),count,121449.0
sensor08,gatewayA,RSSI (dBm),mean,-95.10550633716248
sensor08,gatewayA,SNR (dB),mean,7.890902131199773
sensor08,gatewayA,Spreading Factor (-),mean,7.0
sensor08,gatewayA,Bandwidth (Hz),mean,125000.0
sensor08,gatewayA,Frequency (Hz),mean,904584722.1397991
sensor08,gatewayA,Airtime (s),mean,0.057028424738247624
sensor08,gatewayA,Counter (-),mean,107519.37279470985
sensor08,gatewayA,# Receiving Gateways (-),mean,1.6178542664575473
sensor08,gatewayA,RSSI (dBm),std,9.39893322974197
sensor08,gatewayA,SNR (dB),std,5.583272851923848
sensor08,gatewayA,Spreading Factor (-),std,0.0
sensor08,gatewayA,Bandwidth (Hz),std,0.0
sensor08,gatewayA,Frequency (Hz),std,456570.9218715582
sensor08,gatewayA,Airtime (s),std,0.0014542543845503524
sensor08,gatewayA,Counter (-),std,40012.408887683436
sensor08,gatewayA,# Receiving Gateways (-),std,0.4991676177935104
sensor08,gatewayA,RSSI (dBm),min,-120.0
sensor08,gatewayA,SNR (dB),min,-10.25
sensor08,gatewayA,Spreading Factor (-),min,7.0
sensor08,gatewayA,Bandwidth (Hz),min,125000.0
sensor08,gatewayA,Frequency (Hz),min,903900000.0
sensor08,gatewayA,Airtime (s),min,0.056576
sensor08,gatewayA,Counter (-),min,39760.0
sensor08,gatewayA,# Receiving Gateways (-),min,1.0
sensor08,gatewayA,RSSI (dBm),max,-41.0
sensor08,gatewayA,SNR (dB),max,15.0
sensor08,gatewayA,Spreading Factor (-),max,7.0
sensor08,gatewayA,Bandwidth (Hz),max,125000.0
sensor08,gatewayA,Frequency (Hz),max,905300000.0
sensor08,gatewayA,Airtime (s),max,0.066816
sensor08,gatewayA,Counter (-),max,180598.0
sensor08,gatewayA,# Receiving Gateways (-),max,3.0
sensor08,gatewayA,RSSI (dBm),count,117955.0
sensor08,gatewayA,SNR (dB),count,112988.0
sensor08,gatewayA,Spreading Factor (-),count,117955.0
sensor08,gatewayA,Bandwidth (Hz),count,117955.0
sensor08,gatewayA,Frequency (Hz),count,117955.0
sensor08,gatewayA,Airtime (s),count,117955.0
sensor08,gatewayA,Counter (-),count,117955.0
sensor08,gatewayA,# Receiving Gateways (-),count,117955.0
sensor08,gatewayB,RSSI (dBm),mean,-108.35794188803986
sensor08,gatewayB,SNR (dB),mean,-2.052419864369656
sensor08,gatewayB,Spreading Factor (-),mean,7.0
sensor08,gatewayB,Bandwidth (Hz),mean,125000.0
sensor08,gatewayB,Frequency (Hz),mean,904597786.6673055
sensor08,gatewayB,Airtime (s),mean,0.05702058284427622
sensor08,gatewayB,Counter (-),mean,106317.72945361343
sensor08,gatewayB,# Receiving Gateways (-),mean,1.8691043667808465
sensor08,gatewayB,RSSI (dBm),std,8.1222945567899
sensor08,gatewayB,SNR (dB),std,4.009148909350181
sensor08,gatewayB,Spreading Factor (-),std,0.0
sensor08,gatewayB,Bandwidth (Hz),std,0.0
sensor08,gatewayB,Frequency (Hz),std,456497.3349586841
sensor08,gatewayB,Airtime (s),std,0.0014419650118345083
sensor08,gatewayB,Counter (-),std,40366.11721596049
sensor08,gatewayB,# Receiving Gateways (-),std,0.36360416525072164
sensor08,gatewayB,RSSI (dBm),min,-126.0
sensor08,gatewayB,SNR (dB),min,-10.75
sensor08,gatewayB,Spreading Factor (-),min,7.0
sensor08,gatewayB,Bandwidth (Hz),min,125000.0
sensor08,gatewayB,Frequency (Hz),min,903900000.0
sensor08,gatewayB,Airtime (s),min,0.056576
sensor08,gatewayB,Counter (-),min,39760.0
sensor08,gatewayB,# Receiving Gateways (-),min,1.0
sensor08,gatewayB,RSSI (dBm),max,-61.0
sensor08,gatewayB,SNR (dB),max,12.0
sensor08,gatewayB,Spreading Factor (-),max,7.0
sensor08,gatewayB,Bandwidth (Hz),max,125000.0
sensor08,gatewayB,Frequency (Hz),max,905300000.0
sensor08,gatewayB,Airtime (s),max,0.066816
sensor08,gatewayB,Counter (-),max,180598.0
sensor08,gatewayB,# Receiving Gateways (-),max,3.0
sensor08,gatewayB,RSSI (dBm),count,83494.0
sensor08,gatewayB,SNR (dB),count,71223.0
sensor08,gatewayB,Spreading Factor (-),count,83494.0
sensor08,gatewayB,Bandwidth (Hz),count,83494.0
sensor08,gatewayB,Frequency (Hz),count,83494.0
sensor08,gatewayB,Airtime (s),count,83494.0
sensor08,gatewayB,Counter (-),count,83494.0
sensor08,gatewayB,# Receiving Gateways (-),count,83494.0
sensor08,gatewayC,RSSI (dBm),mean,-113.5
sensor08,gatewayC,SNR (dB),mean,-8.5
sensor08,gatewayC,Spreading Factor (-),mean,7.0
sensor08,gatewayC,Bandwidth (Hz),mean,125000.0
sensor08,gatewayC,Frequency (Hz),mean,904716666.6666666
sensor08,gatewayC,Airtime (s),mean,0.05678933333333333
sensor08,gatewayC,Counter (-),mean,59751.458333333336
sensor08,gatewayC,# Receiving Gateways (-),mean,2.625
sensor08,gatewayC,RSSI (dBm),std,1.7693034738587656
sensor08,gatewayC,SNR (dB),std,0.8242255917447338
sensor08,gatewayC,Spreading Factor (-),std,0.0
sensor08,gatewayC,Bandwidth (Hz),std,0.0
sensor08,gatewayC,Frequency (Hz),std,416681.15916825074
sensor08,gatewayC,Airtime (s),std,0.001045115623587489
sensor08,gatewayC,Counter (-),std,30506.648143555693
sensor08,gatewayC,# Receiving Gateways (-),std,0.5757792451369143
sensor08,gatewayC,RSSI (dBm),min,-117.0
sensor08,gatewayC,SNR (dB),min,-9.75
sensor08,gatewayC,Spreading Factor (-),min,7.0
sensor08,gatewayC,Bandwidth (Hz),min,125000.0
sensor08,gatewayC,Frequency (Hz),min,903900000.0
sensor08,gatewayC,Airtime (s),min,0.056576
sensor08,gatewayC,Counter (-),min,42325.0
sensor08,gatewayC,# Receiving Gateways (-),min,1.0
sensor08,gatewayC,RSSI (dBm),max,-110.0
sensor08,gatewayC,SNR (dB),max,-6.75
sensor08,gatewayC,Spreading Factor (-),max,7.0
sensor08,gatewayC,Bandwidth (Hz),max,125000.0
sensor08,gatewayC,Frequency (Hz),max,905300000.0
sensor08,gatewayC,Airtime (s),max,0.061696
sensor08,gatewayC,Counter (-),max,154002.0
sensor08,gatewayC,# Receiving Gateways (-),max,3.0
sensor08,gatewayC,RSSI (dBm),count,24.0
sensor08,gatewayC,SNR (dB),count,24.0
sensor08,gatewayC,Spreading Factor (-),count,24.0
sensor08,gatewayC,Bandwidth (Hz),count,24.0
sensor08,gatewayC,Frequency (Hz),count,24.0
sensor08,gatewayC,Airtime (s),count,24.0
sensor08,gatewayC,Counter (-),count,24.0
sensor08,gatewayC,# Receiving Gateways (-),count,24.0
sensor09,gatewayA,RSSI (dBm),mean,-94.96429567185476
sensor09,gatewayA,SNR (dB),mean,8.028547238067546
sensor09,gatewayA,Spreading Factor (-),mean,7.00004920210585
sensor09,gatewayA,Bandwidth (Hz),mean,125000.0
sensor09,gatewayA,Frequency (Hz),mean,904587038.5252489
sensor09,gatewayA,Airtime (s),mean,0.05706414157085923
sensor09,gatewayA,Counter (-),mean,102361.05562298067
sensor09,gatewayA,# Receiving Gateways (-),mean,1.3635379594246633
sensor09,gatewayA,RSSI (dBm),std,9.680917156112805
sensor09,gatewayA,SNR (dB),std,5.5675993015619305
sensor09,gatewayA,Spreading Factor (-),std,0.008099439789489286
sensor09,gatewayA,Bandwidth (Hz),std,0.0
sensor09,gatewayA,Frequency (Hz),std,455644.3081628282
sensor09,gatewayA,Airtime (s),std,0.0015821101642109839
sensor09,gatewayA,Counter (-),std,41767.133188753796
sensor09,gatewayA,# Receiving Gateways (-),std,0.5229227039962177
sensor09,gatewayA,RSSI (dBm),min,-120.0
sensor09,gatewayA,SNR (dB),min,-9.5
sensor09,gatewayA,Spreading Factor (-),min,7.0
sensor09,gatewayA,Bandwidth (Hz),min,125000.0
sensor09,gatewayA,Frequency (Hz),min,903900000.0
sensor09,gatewayA,Airtime (s),min,0.056576
sensor09,gatewayA,Counter (-),min,906.0
sensor09,gatewayA,# Receiving Gateways (-),min,1.0
sensor09,gatewayA,RSSI (dBm),max,-44.0
sensor09,gatewayA,SNR (dB),max,15.0
sensor09,gatewayA,Spreading Factor (-),max,9.0
sensor09,gatewayA,Bandwidth (Hz),max,125000.0
sensor09,gatewayA,Frequency (Hz),max,905300000.0
sensor09,gatewayA,Airtime (s),max,0.205824
sensor09,gatewayA,Counter (-),max,172635.0
sensor09,gatewayA,# Receiving Gateways (-),max,4.0
sensor09,gatewayA,RSSI (dBm),count,121946.0
sensor09,gatewayA,SNR (dB),count,116929.0
sensor09,gatewayA,Spreading Factor (-),count,121946.0
