sensor,n_gateways_used,x_est,y_est,x_true,y_true,error_m
sensor01,3,60.75148554672235,43.791139641379004,201.00943465154864,-38.30408619183589,162.51744026934034
sensor02,3,-131.4398876997245,-15.566387149960836,96.18114053756834,-108.86838664122345,246.00121057602547
sensor03,3,-19.568058594041126,189.31804891656947,89.92770232308884,-111.0478072025961,319.70137500645905
sensor04,3,120.4106920987727,79.89578968545432,186.06774614325977,-49.757163636242275,145.3297528066388
sensor05,3,74.00747452295403,-2.5518527924765255,61.296764611620716,18.605477264799664,24.68187111226759
sensor06,3,-57.529657017373864,81.5734820559556,58.17880382102069,14.402309037425898,133.7924302577524
sensor07,3,51.11596042557656,49.11523759274637,201.00943465154864,-38.30408619183589,173.52288548340184
sensor08,3,-36.50199522508518,87.22112193480405,-146.984767873817,174.8454686930666,141.012301580265
sensor09,3,-90.48654211022566,140.7783760349564,-144.13831490461993,165.6607677522661,59.14090075028405
sensor10,3,86.6444188685497,45.240600404696266,143.0206189330293,-140.2031169689274,193.8237556313948
